dimension,stratum,n_events,n_severe,severe_rate
Source,Source1,45609,1987,0.04356596285820781
Source,Source2,32512,11496,0.35359251968503935
Source,Source3,1879,663,0.3528472591804151
State,CA,59903,9798,0.16356442916047612
State,TX,20097,4348,0.2163506991093198
Accident_Year,2016,6554,2259,0.3446750076289289
Accident_Year,2017,8123,2899,0.3568878493167549
Accident_Year,2018,8281,2960,0.35744475304914863
Accident_Year,2019,10038,2199,0.21906754333532577
Accident_Year,2020,12199,1611,0.13206000491843595
Accident_Year,2021,13902,1360,0.09782765069774134
Accident_Year,2022,11607,781,0.06728698199362454
Accident_Year,2023,2060,8,0.003883495145631068
Accident_Year,Unknown,7236,69,0.009535655058043118
Time_Availability,Known,72764,14077,0.19346105216865483
Time_Availability,Missing,7236,69,0.009535655058043118
