rule_id,dimension,stratum,n_stratum,n_rule_group,n_comparison_group,severe_rate_rule,severe_rate_comparison,observed_rate_difference,model_risk_rule,model_risk_comparison,model_risk_difference,eligible_main_stratum
R01,Source,Source1,9146,397,8749,0.07808564231738035,0.04320493770716653,0.03488070461021382,0.20089156571609318,0.1382318067132418,0.06265975900285137,True
R01,Source,Source2,6481,248,6233,0.5282258064516129,0.3470239050216589,0.18120190142995396,0.2809720536049091,0.22526836266583042,0.055703690939078704,True
R01,Source,Source3,373,17,356,0.5294117647058824,0.32865168539325845,0.2007600793126239,0.18567132603610575,0.15236452158920433,0.03330680444690143,False
R01,State,CA,11965,581,11384,0.24440619621342513,0.1579409697821504,0.08646522643127474,0.2333911641736896,0.16889633007654115,0.06449483409714846,True
R01,State,TX,4035,81,3954,0.35802469135802467,0.2175012645422357,0.14052342681578897,0.2097674943334145,0.18842026543365856,0.021347228899755932,False
R01,Accident_Year,2016,1328,98,1230,0.35714285714285715,0.34715447154471546,0.009988385598141691,0.3308991500135649,0.29247739775415044,0.038421752259414466,False
R01,Accident_Year,2017,1659,93,1566,0.40860215053763443,0.35887611749680715,0.04972603304082729,0.3254185388240083,0.2761158133747258,0.04930272544928249,False
R01,Accident_Year,2018,1621,83,1538,0.37349397590361444,0.3589076723016905,0.014586303601923922,0.33094722900907414,0.28144571206480573,0.04950151694426841,False
R01,Accident_Year,2019,1954,80,1874,0.325,0.21398078975453574,0.11101921024546427,0.1950143685403946,0.16965247582553483,0.02536189271485978,False
R01,Accident_Year,2020,2447,101,2346,0.22772277227722773,0.12404092071611253,0.1036818515611152,0.156524417290108,0.12593282250478288,0.03059159478532511,False
R01,Accident_Year,2021,2784,84,2700,0.11904761904761904,0.09444444444444444,0.0246031746031746,0.16808691613154464,0.13253704239671096,0.035549873734833676,False
R01,Accident_Year,2022,2380,79,2301,0.10126582278481013,0.0686657974793568,0.03260002530545332,0.15712029383093046,0.13571219775166793,0.02140809607926253,False
R01,Accident_Year,2023,433,6,427,0.0,0.00234192037470726,-0.00234192037470726,0.1423595985750483,0.12012987505301274,0.022229723522035547,False
R01,Accident_Year,Unknown,1394,38,1356,0.0,0.008112094395280236,-0.008112094395280236,0.09564987414549822,0.07959815895229834,0.01605171519319988,False
R02,Source,Source1,9146,480,8666,0.05,0.0444264943457189,0.005573505654281101,0.14160746848908737,0.1409153523711839,0.0006921161179034574,True
R02,Source,Source2,6481,352,6129,0.4943181818181818,0.34589655735030184,0.14842162446788,0.268428633996423,0.22504354619406064,0.04338508780236239,True
R02,Source,Source3,373,19,354,0.47368421052631576,0.3305084745762712,0.14317573595004457,0.12565871392038067,0.1553973634572975,-0.029738649536916822,False
R02,State,CA,11965,645,11320,0.22635658914728682,0.15848056537102473,0.06787602377626209,0.19203839151844063,0.17088792627622473,0.021150465242215893,True
R02,State,TX,4035,206,3829,0.2961165048543689,0.21624445024810657,0.07987205460626234,0.19893794697376624,0.18830600143355877,0.010631945540207466,True
R02,Accident_Year,2016,1328,51,1277,0.47058823529411764,0.34299138606108065,0.127596849233037,0.3195759894073878,0.29434372786151736,0.025232261545870438,False
R02,Accident_Year,2017,1659,92,1567,0.532608695652174,0.35162731333758773,0.18098138231458621,0.3077947995625924,0.2771819823201626,0.030612817242429813,False
R02,Accident_Year,2018,1621,77,1544,0.5454545454545454,0.35038860103626945,0.19506594441827596,0.33867381742552194,0.2812527469052196,0.05742107052030232,False
R02,Accident_Year,2019,1954,124,1830,0.2903225806451613,0.21366120218579235,0.07666137845936896,0.1969699319456295,0.16891017356230914,0.028059758383320366,False
R02,Accident_Year,2020,2447,185,2262,0.14054054054054055,0.1273209549071618,0.013219585633378744,0.1346363832084143,0.1265869305256255,0.00804945268278881,False
R02,Accident_Year,2021,2784,165,2619,0.11515151515151516,0.09392898052691867,0.021222534624596487,0.13339014271357433,0.13362349823536832,-0.00023335552179398755,False
R02,Accident_Year,2022,2380,122,2258,0.08196721311475409,0.06908768821966342,0.012879524895090672,0.1471720034185575,0.13584202206473314,0.011329981353824348,False
R02,Accident_Year,2023,433,35,398,0.02857142857142857,0.0,0.02857142857142857,0.1387496635734604,0.11882757792466236,0.01992208564879805,False
R03,Source,Source1,9146,429,8717,0.053613053613053616,0.04428128943443845,0.009331764178615164,0.15745116793098737,0.1401396670277673,0.017311500903220062,True
R03,Source,Source2,6481,312,6169,0.5480769230769231,0.3441400551142811,0.20393686796264204,0.2594799987282715,0.2257774378646325,0.033702560863638986,True
