rule_id,antecedents,consequents,antecedent_support_train,consequent_support_train,support_train,confidence_train,lift_train,leverage_train,conviction_train,antecedent_len
R01,"[""Junction"", ""NhietDo_Vua""]","[""MucDo_Nang""]",0.041671875,0.176828125,0.011203125,0.2688413948256468,1.5203542695804007,0.003834365478515625,1.1258458413461538,2
R02,"[""LoaiNgay_CuoiTuan"", ""ThoiTiet_Nhieu_May""]","[""MucDo_Nang""]",0.0498125,0.176828125,0.012828125,0.2575282308657465,1.4563759631888111,0.004019874023437498,1.1086911438529783,2
R03,"[""AnhSang_Day"", ""LoaiNgay_CuoiTuan"", ""NhietDo_Vua""]","[""MucDo_Nang""]",0.0469375,0.176828125,0.012078125,0.25732356857523303,1.455218555166114,0.0037782548828125,1.1083856174361273,3
R04,"[""GioTrongNgay_Sang"", ""NhietDo_Vua"", ""ThoiTiet_Nhieu_May""]","[""MucDo_Nang""]",0.053,0.176828125,0.01353125,0.2553066037735849,1.4438121977122411,0.004159359374999999,1.1053836104513064,3
R05,"[""AnhSang_Day"", ""Junction"", ""LoaiNgay_NgayThuong""]","[""MucDo_Nang""]",0.048515625,0.176828125,0.01221875,0.2518518518518519,1.424274853628923,0.003639822998046875,1.1002792388613862,3
R06,"[""Junction"", ""LoaiNgay_NgayThuong""]","[""MucDo_Nang""]",0.07096875,0.176828125,0.017734375,0.2498899163364157,1.413179698288469,0.00518510400390625,1.0974014253742295,2
R07,"[""GioTrongNgay_Trua_Chieu"", ""NhietDo_Vua"", ""ThoiTiet_Nhieu_May""]","[""MucDo_Nang""]",0.048828125,0.176828125,0.0119375,0.24448,1.3825854908544668,0.003303314208984375,1.0895434601334182,3
R08,"[""LoaiNgay_NgayThuong"", ""NhietDo_Vua"", ""ThoiTiet_Nhieu_May""]","[""MucDo_Nang""]",0.12321875,0.176828125,0.029984375,0.24334263251331473,1.3761534400328834,0.00819583447265625,1.0879057158119658,3
R09,"[""LoaiNgay_CuoiTuan"", ""NhietDo_Vua""]","[""MucDo_Nang""]",0.06971875,0.176828125,0.0169375,0.24294038547736443,1.3738786489839465,0.004609264160156251,1.0873276809502663,2
R10,"[""AnhSang_Day"", ""Junction""]","[""MucDo_Nang""]",0.0618125,0.176828125,0.01496875,0.2421638018200202,1.3694869061130417,0.0040385615234374995,1.086213454803202,2
