ID,Severity,is_severe,split
A-2653192,2,0,train
A-1233929,2,0,train
A-1425185,2,0,test
A-6138971,2,0,train
A-933958,3,1,test
A-5375544,2,0,train
A-4992101,2,0,train
A-5979961,2,0,train
A-5468484,2,0,train
A-4539257,2,0,train
A-903886,2,0,test
A-2206944,2,0,test
A-4872676,2,0,train
A-1821337,2,0,test
A-2003461,3,1,train
A-7241784,2,0,train
A-1175290,2,0,train
A-3420327,2,0,train
A-6031543,2,0,test
A-5562950,2,0,train
A-1918336,3,1,train
A-2271641,3,1,train
A-1877936,2,0,train
A-5281714,2,0,train
A-4445370,2,0,train
A-1304799,2,0,test
A-3846914,2,0,train
A-2108573,2,0,train
A-3017634,2,0,train
A-7370498,2,0,train
A-5363594,2,0,train
A-10946,3,1,train
A-63445,2,0,train
A-1032124,2,0,test
A-2052958,2,0,train
A-402162,2,0,train
A-7313094,2,0,train
A-6195162,2,0,train
A-6394033,2,0,train
A-6947142,2,0,train
A-3031227,2,0,train
A-19712,2,0,train
A-1852405,2,0,test
A-6231915,2,0,train
A-341545,2,0,train
A-4818339,2,0,train
A-3119512,3,1,train
A-6930277,2,0,train
A-7517118,2,0,train
A-633626,1,0,train
A-7546510,2,0,train
A-6644531,2,0,train
A-284980,2,0,train
A-4806114,2,0,train
A-3527071,2,0,train
A-1248586,2,0,test
A-4349847,2,0,train
A-3193448,2,0,train
A-36143,3,1,test
A-3211626,3,1,train
A-7282987,2,0,train
A-7406390,2,0,train
A-1597074,2,0,train
A-391726,2,0,train
A-404222,2,0,test
A-1888785,2,0,train
A-4494494,2,0,train
A-5992920,2,0,train
A-7250975,2,0,train
A-461281,3,1,train
A-6260819,2,0,test
A-6961394,2,0,train
A-3979080,2,0,train
A-5017446,2,0,train
A-6417962,2,0,train
A-6867753,2,0,train
A-5850292,2,0,test
A-6965860,2,0,test
A-6758936,2,0,train
A-3873377,2,0,train
A-4185904,2,0,train
A-110023,3,1,train
A-4207359,2,0,train
A-7171412,1,0,test
A-5873868,2,0,train
A-103882,2,0,train
A-3830444,2,0,test
A-7214438,2,0,train
A-2828749,3,1,train
A-106110,3,1,train
A-6492599,2,0,train
A-455098,3,1,test
A-1050531,2,0,test
A-5838616,2,0,test
A-3607682,2,0,train
A-5970226,2,0,train
A-316441,2,0,train
A-5271484,2,0,test
A-2139696,2,0,train
A-3625825,3,1,test
A-5234763,2,0,train
A-277883,3,1,train
A-7360535,2,0,train
A-7082194,2,0,train
A-2091503,2,0,train
A-4368084,2,0,train
A-5001687,2,0,train
A-27471,2,0,train
A-7117160,2,0,train
A-291753,2,0,train
A-7117370,2,0,test
A-7245066,2,0,train
A-3685220,2,0,train
A-5217874,2,0,train
A-16938,2,0,test
A-7263687,2,0,train
A-4812914,2,0,train
A-5978944,2,0,train
A-2804679,3,1,test
A-4038690,2,0,train
A-2717597,2,0,train
A-2426956,3,1,train
A-5074472,2,0,train
A-4596512,2,0,train
A-5240128,2,0,test
A-99900,3,1,train
A-5671559,2,0,train
A-2155630,2,0,train
A-54520,2,0,train
A-390540,2,0,train
A-5261548,2,0,train
A-7471252,3,1,test
A-4297341,2,0,train
A-284797,2,0,test
A-51296,3,1,train
A-5768240,2,0,train
A-2037102,3,1,train
A-6731844,2,0,train
A-6024836,2,0,train
A-6102711,2,0,train
A-2669341,3,1,train
A-6638763,2,0,test
A-3827821,2,0,train
A-315272,2,0,train
A-6088210,2,0,train
A-3648277,2,0,train
A-6932176,2,0,train
A-6360620,2,0,train
A-3539090,2,0,train
A-6551595,2,0,test
A-3557938,3,1,train
A-766830,3,1,test
A-2671183,2,0,test
A-1033943,2,0,train
A-60430,3,1,train
A-4033917,2,0,train
A-7239288,2,0,train
A-810112,2,0,train
A-408463,2,0,train
A-5779802,2,0,test
A-288910,2,0,train
A-6628642,2,0,train
A-4793148,2,0,train
A-6875137,2,0,test
A-3372566,3,1,train
A-7421876,2,0,train
A-1532791,3,1,train
A-5868360,2,0,test
A-6925376,2,0,train
A-2574478,2,0,train
A-7118785,2,0,test
A-276413,2,0,train
A-6380048,2,0,test
A-6673644,2,0,train
A-4834250,2,0,test
A-6257661,2,0,train
A-1636259,2,0,train
A-798491,3,1,train
A-995214,2,0,test
A-6778385,2,0,train
A-5704877,2,0,train
A-4052619,2,0,train
A-1966876,2,0,train
A-1358708,2,0,test
A-3420391,4,1,train
A-3265920,2,0,train
A-2319083,2,0,test
A-2777919,2,0,train
A-7112753,2,0,train
A-3338180,3,1,test
A-5628565,2,0,train
A-7413800,2,0,test
A-1886167,3,1,train
A-2871734,3,1,train
A-3421082,2,0,train
A-6358358,2,0,test
A-4177041,2,0,test
A-1422948,3,1,train
A-3588399,2,0,test
A-3172821,2,0,train
A-6496283,2,0,train
A-2882185,3,1,train
A-1797755,2,0,train
A-5767669,2,0,train
A-3240346,3,1,train
A-404269,3,1,test
A-4255223,2,0,train
A-1233889,2,0,train
A-7730591,3,1,train
A-6796103,2,0,train
A-5387649,2,0,train
A-7079112,2,0,train
A-6457728,2,0,train
A-5766338,2,0,test
A-1045965,2,0,train
A-7420352,2,0,train
A-2089176,3,1,test
A-87286,2,0,train
A-454730,3,1,train
A-7465523,4,1,test
A-6562903,2,0,test
A-2966539,3,1,train
A-4325311,2,0,test
A-4957862,2,0,train
A-4866433,2,0,train
A-6678700,2,0,train
A-4062193,2,0,train
A-1582205,2,0,train
A-5324290,2,0,train
A-4848730,2,0,train
A-290558,2,0,train
A-3728396,2,0,train
A-7229890,2,0,train
A-1115061,3,1,train
A-4740793,2,0,train
A-2524750,2,0,test
A-4413314,2,0,test
A-292449,2,0,test
A-454512,2,0,train
A-7337134,2,0,train
A-5973070,2,0,train
A-6617901,2,0,train
A-5613563,2,0,train
A-5371422,2,0,train
A-2146716,2,0,train
A-5039944,2,0,train
A-1610003,2,0,train
A-85621,3,1,test
A-55868,3,1,train
A-19783,2,0,test
A-7298701,2,0,train
A-2641728,3,1,train
A-3157110,3,1,train
A-4091553,2,0,train
A-297165,3,1,train
A-7313151,2,0,train
A-4523941,2,0,test
A-6827620,2,0,train
A-7609100,2,0,train
A-6088832,2,0,train
A-5326279,2,0,test
A-407285,3,1,train
A-641356,2,0,train
A-2898909,2,0,train
A-7132848,3,1,train
A-4013884,2,0,train
A-6136694,2,0,test
A-3803836,2,0,train
A-7597970,3,1,test
A-5029016,2,0,train
A-4018891,2,0,train
A-7051308,2,0,train
A-6982696,2,0,test
A-4342934,2,0,train
A-6211614,2,0,train
A-7332870,2,0,train
A-7402615,2,0,train
A-6732377,2,0,train
A-6918380,2,0,train
A-4911498,2,0,train
A-13219,3,1,train
A-5782112,2,0,test
A-6717617,2,0,test
A-7722424,2,0,train
A-7708502,2,0,train
A-3436565,2,0,train
A-4533457,2,0,train
A-5012316,2,0,train
A-6977273,2,0,test
A-858983,2,0,train
A-2440307,3,1,test
A-5157176,2,0,train
A-2940489,2,0,test
A-5840990,2,0,train
A-7769024,4,1,train
A-4490475,2,0,test
A-6982435,2,0,train
A-3205440,2,0,train
A-4750524,2,0,train
A-338717,2,0,test
A-3689974,2,0,train
A-314745,2,0,train
A-5537567,2,0,train
A-29085,3,1,train
A-3879074,2,0,train
A-93361,2,0,test
A-5266148,2,0,train
A-3986057,2,0,train
A-1968592,2,0,train
A-6945876,2,0,train
A-7635482,2,0,train
A-7380951,2,0,train
A-4773337,2,0,test
A-3175041,3,1,train
A-26223,2,0,train
A-6322382,2,0,test
A-3137017,2,0,train
A-34365,2,0,train
A-5988103,2,0,train
A-1663731,2,0,train
A-5877659,2,0,train
A-3851290,2,0,train
A-5858303,2,0,train
A-348061,2,0,train
A-91696,2,0,train
A-4802398,2,0,train
A-3048687,2,0,train
A-4415185,2,0,train
A-1235560,2,0,train
A-6680398,2,0,train
A-7707170,2,0,train
A-5876849,2,0,train
A-7351107,2,0,train
A-611920,1,0,train
A-331800,2,0,test
A-5824528,2,0,train
A-4256250,2,0,train
A-1415968,2,0,train
A-2052568,2,0,train
A-7703743,2,0,test
A-389963,2,0,test
A-397746,2,0,train
A-5040390,2,0,train
A-2894352,3,1,train
A-556433,1,0,train
A-7313176,2,0,train
A-33707,2,0,train
A-7013198,2,0,test
A-2972108,2,0,train
A-2000366,2,0,train
A-2945208,2,0,train
